ticker,news_sentiment_7d,news_sentiment_30d,news_sentiment_trend,news_volume_7d,news_volume_ratio,news_positive_pct,news_negative_pct,filing_count_30d,filing_sentiment,has_8k_recent,filing_risk_sentiment,mgmt_outlook,fda_event_recent,fda_sentiment,clinical_trial_active,regulatory_risk,days_to_earnings,earnings_surprise_last,guidance_sentiment,event_risk_score,sentiment_confidence,composite_sentiment
A,0.41399059258401394,-0.037061065528541805,0.45105165811255576,2,0.856,20.0,30.0,2,0.0032655881345272065,0,0.0,0.0016327940672636032,0,0,0,0.3,90,-0.6036864338649038,0,0.2822018814831972,0.8,0.14497085419396566
AAPL,0.1735688116401434,0.1735688116401434,0.0,10,4.28,20.0,10.0,1,0.0,1,0.0,0.0,0,0,0,0.3,90,6.33518047027108,0,0.27028623767197135,0.8,0.07025185477945681
ABBV,0.276181404106319,0.276181404106319,0.0,10,4.28,50.0,20.0,2,0.0008508700132369995,1,0.0,0.00042543500661849974,0,0,0,0.3,90,-0.7739630879142675,0,0.3097637191787362,0.8,0.09575780780931133
ABNB,0.18620679061859846,0.18620679061859846,0.0,10,4.28,40.0,30.0,0,0.0,0,0.0,0.0,0,0,0,0.3,90,-15.64994728121705,0,0.2077586418762803,0.8,0.04169745579468388
ABT,-0.00952615011483431,-0.00952615011483431,0.0,10,4.28,10.0,20.0,4,0.001701740026473999,1,0.0,0.0008508700132369995,0,0,0,0.3,90,0.3297796234579657,0,0.4830947699770331,0.3,-0.00232896109706286
ACGL,0.4319026384968311,0.4319026384968311,0.0,10,4.28,50.0,0.0,2,0.0,1,0.0,0.0,0,0,0,0.3,90,1.4738055518348427,0,0.2786194723006338,0.8,0.15337663180164315
ACN,0.6034357802942395,0.6034357802942395,0.0,10,4.28,70.0,10.0,1,0.0,1,0.0,0.0,0,0,0,0.3,90,3.263915076884041,0,0.1843128439411521,0.8,0.21609839571830988
ADBE,-0.27151072709821167,-0.27151072709821167,0.0,10,4.28,30.0,50.0,1,0.0,1,0.0,0.0,0,0,0,0.3,90,3.181603026660344,0,0.25069785458035765,0.8,-0.09025634994438356
ADI,0.06722000306472183,0.06722000306472183,0.0,10,4.28,40.0,40.0,0,0.0,0,0.0,0.0,0,0,0,0.3,90,6.550241037435517,0,0.23155599938705562,0.8,0.033352362628805914
ADM,0.03724696403369308,0.03724696403369308,0.0,10,4.28,30.0,50.0,0,0.0,0,0.0,0.0,0,0,0,0.3,90,9.171675596993385,0,0.23755060719326138,0.8,0.026793950807282654
ADP,0.417930157110095,0.417930157110095,0.0,10,4.28,60.0,10.0,1,0.0,1,0.0,0.0,0,0,0,0.3,90,2.2591069775909975,0,0.22141396857798096,0.8,0.14966421545491976
ADSK,-0.07925448473542929,-0.015609194431453944,-0.06364529030397534,7,2.996,30.0,40.0,1,0.0,1,0.0,0.0,0,0,0,0.3,90,7.813244762546055,0,0.28914910305291414,0.8,-0.016019202513581167
AEE,0.04101578787797027,0.1278677917085588,-0.08685200383058853,9,3.852,40.0,40.0,0,0.001595381274819374,0,0.0,0.000797690637409687,0,0,0,0.3,90,32.645116641194974,0,0.23679684242440596,0.8,0.06380181510152787
AEP,-0.06628987093323044,0.14211848569102586,-0.2084083566242563,7,2.996,30.0,20.0,1,0.0,1,0.0,0.0,0,0,0,0.3,90,3.5971724065884345,0,0.2917420258133539,0.8,-0.017805696216748
